Snow_mm,Solar_Radiation
53,0
54,0
55,0
55,0
56,0
57,0
58,0
61,0
63,2
65,5
67,6
68,8
70,7
72,7
73,5
75,4
75,2
77,1
79,0
82,0
84,0
85,0
85,0
85,0
85,0
85,0
85,0
85,0
86,0
86,0
86,0
86,10
86,29
86,70
86,87
86,98
87,101
87,97
87,85
87,33
88,8
88,3
88,0
88,0
88,0
88,0
88,0
88,0
88,0
89,0
89,0
89,0
89,0
89,0
89,1
90,11
90,27
90,63
90,71
90,88
90,97
90,95
90,82
90,32
90,16
90,9
90,1
91,0
91,0
90,0
90,0
89,0
89,0
89,0
89,0
89,0
89,0
88,0
88,0
88,8
89,36
89,54
89,72
89,31
88,37
87,26
86,19
86,8
86,11
86,2
85,0
85,0
86,0
86,0
86,0
86,0
86,0
86,0
85,0
85,0
84,0
84,0
84,0
84,6
84,26
84,16
84,8
84,9
84,8
84,11
84,14
83,15
83,4
83,3
83,0
83,0
82,0
82,0
82,0
82,0
82,0
82,0
80,0
80,0
80,0
81,0
80,0
80,1
80,4
79,14
79,15
78,24
78,15
77,13
77,15
76,31
76,11
76,4
76,0
76,0
76,0
76,0
76,0
76,0
76,0
76,0
76,0
76,0
76,0
76,0
76,1
76,5
75,13
75,15
75,19
74,33
74,48
74,65
74,56
74,34
74,19
74,8
75,1
75,0
75,0
75,0
75,0
75,0
75,0
75,0
75,0
75,0
75,0
75,0
75,1
74,19
73,64
73,93
73,109
73,112
73,97
73,99
73,86
72,28
72,8
72,2
72,0
72,0
73,0
73,0
73,0
73,0
72,0
72,0
72,0
72,0
72,0
72,0
72,0
72,12
71,20
71,43
71,83
71,74
71,83
71,92
71,69
70,30
69,9
69,2
69,0
69,0
69,0
69,0
69,0
69,0
69,0
69,0
69,0
69,0
69,0
68,0
68,2
68,6
66,22
67,38
67,56
67,83
67,63
67,84
66,76
65,38
64,25
64,7
64,1
64,0
63,0
62,0
62,0
62,0
62,0
62,0
64,0
64,0
64,0
64,0
64,2
63,17
62,52
63,73
63,89
63,96
62,106
61,97
59,84
58,34
57,20
57,10
56,0
56,0
55,0
55,0
55,0
55,0
55,0
55,0
55,0
55,0
56,0
56,0
56,2
56,10
55,16
56,20
56,22
56,19
56,14
56,7
56,8
56,10
56,4
56,1
57,0
57,0
58,0
58,0
59,0
60,0
60,0
60,0
61,0
63,0
64,0
65,0
66,1
66,2
66,5
66,12
67,9
67,6
67,6
68,6
69,18
70,22
70,11
70,4
70,0
70,0
70,0
71,0
71,0
72,0
72,0
72,0
72,0
72,0
72,0
72,0
72,0
72,5
72,20
72,28
72,50
73,36
73,48
73,50
73,35
73,25
73,12
73,5
73,1
73,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,3
74,14
74,20
74,25
75,27
75,37
75,87
75,69
75,46
75,41
75,16
75,8
75,2
75,0
75,0
75,0
75,0
75,0
75,0
75,0
75,0
75,0
75,0
75,0
75,2
75,17
75,36
75,59
75,95
75,106
74,109
74,115
73,92
72,44
71,9
71,3
71,1
70,0
70,0
69,0
70,0
71,0
71,0
71,0
71,0
71,0
71,0
71,0
71,1
71,21
71,55
71,76
71,93
71,103
70,106
68,102
66,53
65,19
65,15
64,7
63,2
63,0
63,0
63,0
63,0
63,0
63,0
62,0
62,0
62,0
62,0
61,0
61,2
61,9
61,17
61,28
61,93
60,103
59,107
57,101
54,88
53,65
51,13
50,6
49,1
48,0
48,0
47,0
47,0
48,0
49,0
49,0
49,0
49,0
49,0
49,0
49,1
49,2
49,8
49,25
50,6
50,4
50,16
49,13
49,7
49,4
49,3
47,2
46,0
46,0
46,0
46,0
46,0
46,0
46,0
46,0
45,0
45,0
45,0
45,0
44,1
44,2
43,4
43,4
43,2
43,5
43,6
43,9
43,4
42,3
41,5
41,1
40,0
40,0
40,0
39,0
39,0
38,0
38,0
38,0
37,0
36,0
35,0
35,0
34,0
33,1
31,3
31,4
29,4
28,7
26,6
25,6
23,5
21,2
20,1
18,0
17,0
16,0
16,0
15,0
14,0
14,0
14,0
13,0
12,0
12,0
12,0
12,0
12,0
12,3
12,8
12,19
12,33
12,44
12,67
12,80
11,44
11,48
10,18
10,4
10,2
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,2
10,15
11,59
12,80
12,80
12,101
12,86
11,46
10,16
10,12
10,8
10,6
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,1
11,9
11,15
11,15
12,47
12,62
11,88
12,78
12,107
11,83
10,15
10,6
10,1
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
11,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
11,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
11,0
12,0
12,0
12,0
12,0
12,0
11,82
10,26
10,23
10,11
10,2
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,1
11,23
11,29
11,34
10,26
10,22
10,11
10,11
10,17
10,10
10,9
10,8
10,1
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,4
10,13
11,27
11,40
12,63
11,63
12,74
11,25
11,36
11,35
10,17
10,9
10,2
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,3
10,4
10,14
10,12
10,9
10,21
11,33
12,106
11,27
11,19
10,13
10,12
10,1
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,2
10,29
11,22
12,87
11,79
11,40
10,23
10,29
11,25
10,21
10,17
10,9
10,3
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,2
10,27
11,65
12,85
12,101
12,110
12,112
11,108
11,95
10,76
10,11
10,4
10,1
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,2
11,29
12,63
12,84
12,99
12,109
12,111
12,106
12,94
10,76
10,12
10,8
10,2
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,3
10,14
10,23
10,17
10,9
11,21
11,94
10,22
10,89
10,17
10,17
10,8
10,3
10,0
10,0
10,0
10,0
9,0
9,0
10,0
10,0
10,0
10,0
10,0
11,2
11,28
11,66
13,86
12,102
12,111
12,114
11,109
11,96
10,78
10,11
10,3
10,1
10,0
10,0
10,0
10,0
9,0
9,0
9,0
10,0
10,0
10,0
10,0
10,2
11,25
12,66
12,86
12,101
12,111
12,113
11,108
11,96
11,78
10,12
10,4
10,1
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,3
11,24
11,66
12,87
12,88
12,120
12,104
11,101
11,60
11,43
11,24
10,14
10,6
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,2
10,4
10,2
11,31
11,24
11,24
12,53
12,52
11,72
10,41
10,15
10,15
10,1
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,1
10,4
10,26
11,65
12,55
11,57
11,33
11,43
12,58
12,93
11,73
10,19
10,9
10,3
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,1
10,5
10,12
10,8
10,6
11,29
11,30
10,25
10,19
10,15
10,9
10,7
10,3
10,0
10,0
10,0
10,0
10,0
10,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,7
15,16
15,19
15,23
15,26
15,19
15,21
15,19
15,10
15,13
15,7
15,5
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,4
15,14
15,14
15,23
15,36
15,69
15,36
15,29
15,15
15,8
15,7
15,3
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,3
15,25
15,62
15,84
15,54
15,122
15,63
15,78
15,90
15,25
15,19
15,12
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,11
15,15
15,25
15,39
15,36
15,52
15,54
15,48
15,90
15,52
15,24
15,11
15,5
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,7
15,12
15,9
15,7
15,8
15,6
15,5
15,3
15,4
15,2
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,6
15,23
15,8
15,15
15,83
15,36
15,58
15,114
15,98
15,75
15,20
15,12
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,3
15,27
15,69
15,89
15,104
15,113
15,115
15,110
15,98
15,80
15,14
15,6
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,9
15,20
15,9
15,9
15,33
15,38
15,4
15,13
15,23
15,17
15,21
15,6
15,4
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,0
15,2
15,5
15,11
15,18
15,92
15,28
15,15
15,20
15,17
15,12
15,13
15,3
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,8
15,18
15,62
15,81
15,73
15,56
15,109
15,54
15,22
15,35
15,10
15,10
15,5
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,3
15,11
15,25
15,76
15,63
15,79
15,38
15,20
15,25
15,50
15,87
15,24
15,12
15,4
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,6
15,17
15,36
15,23
15,51
15,41
15,23
15,33
15,29
15,16
15,13
15,9
15,3
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,3
15,10
15,30
15,70
15,90
15,109
15,96
15,107
15,45
15,54
15,28
15,20
15,10
15,5
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,8
15,28
15,17
15,39
15,74
15,109
15,115
15,98
15,68
15,57
15,22
15,13
15,4
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,11
15,26
15,48
15,42
15,78
15,59
15,22
15,23
15,29
15,21
15,12
15,12
15,3
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,9
15,17
15,64
15,38
15,24
15,18
15,23
15,39
15,40
15,50
15,15
15,5
15,3
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,3
15,8
15,21
15,64
15,45
15,76
15,35
15,73
15,38
15,31
15,24
15,21
15,3
15,3
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,7
15,10
15,11
15,19
15,20
15,23
15,34
15,25
15,31
15,40
15,22
15,19
15,8
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,5
15,9
15,18
15,36
15,37
15,28
15,28
15,41
15,27
15,20
15,13
15,6
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,7
15,16
15,45
15,90
15,104
15,114
15,109
15,108
15,85
15,51
15,19
15,7
15,4
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,3
15,5
15,23
15,46
15,89
15,96
15,117
15,125
15,26
15,23
15,26
15,18
15,12
15,7
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,8
15,19
15,83
15,99
15,114
15,115
15,120
15,79
15,93
15,14
15,6
15,6
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,5
15,23
15,72
15,31
15,66
15,50
15,27
15,28
15,51
15,83
15,7
15,4
15,3
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,5
15,21
15,73
15,93
15,112
15,74
15,15
15,87
15,83
15,65
15,9
15,4
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,5
15,22
15,71
15,95
15,110
15,120
15,119
15,115
15,104
15,80
15,17
15,10
15,6
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,10
15,20
15,41
15,108
15,33
15,105
15,40
15,44
15,103
15,73
15,11
15,7
15,3
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,1
15,2
15,6
15,4
15,7
15,11
15,12
15,7
15,7
15,3
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,11
15,11
15,90
15,111
15,70
15,126
15,93
15,97
15,39
15,9
15,4
15,2
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,5
15,9
15,12
15,16
15,33
15,23
15,50
15,60
15,105
15,72
15,100
15,7
15,4
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,4
15,11
15,15
15,21
15,32
15,38
15,57
15,66
15,82
15,64
15,30
15,19
15,10
15,2
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,5
15,15
15,76
15,64
15,97
15,123
15,58
15,73
15,85
15,48
15,11
15,5
15,4
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,5
15,13
15,78
15,97
15,112
15,121
15,122
15,116
15,103
15,84
15,9
15,8
15,2
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,6
15,13
15,75
15,94
15,109
15,120
15,125
15,119
15,104
15,66
15,6
15,7
15,3
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,10
15,12
15,76
15,95
15,110
15,120
15,122
15,116
15,103
15,88
15,14
15,14
15,4
15,3
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,6
15,16
15,73
15,93
15,103
15,84
15,103
15,102
15,94
15,82
15,15
15,13
15,9
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,12
15,27
15,71
15,91
15,44
15,44
15,67
15,27
15,78
15,38
15,21
15,7
15,6
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,3
15,17
15,20
15,55
15,71
15,59
15,39
15,63
15,41
15,46
15,18
15,12
15,2
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,4
15,12
15,16
15,84
15,82
15,113
15,28
15,77
15,118
15,27
15,31
15,26
15,6
15,3
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,7
15,17
15,82
15,23
15,89
15,32
15,20
15,93
15,114
15,85
15,14
15,10
15,3
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,3
15,3
15,2
15,6
15,6
15,14
15,23
15,52
15,47
15,40
15,65
15,6
15,14
15,4
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,3
15,29
15,80
15,107
15,89
15,78
15,27
15,29
15,34
15,45
15,24
15,22
15,7
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,3
15,12
15,18
15,90
15,95
15,116
15,72
15,46
15,18
15,23
15,30
15,21
15,17
15,2
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,10
15,23
15,17
15,44
15,47
15,12
15,29
15,53
15,80
15,41
15,12
15,11
15,8
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,5
15,20
15,76
15,95
15,110
15,118
15,120
15,116
15,97
15,54
15,18
15,5
15,10
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,4
15,3
15,18
15,24
15,33
15,44
15,81
15,86
15,72
15,73
15,25
15,24
15,9
15,7
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,5
15,20
15,74
15,98
15,113
15,122
15,124
15,120
15,109
15,91
15,13
15,4
15,2
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,4
15,21
15,78
15,97
15,107
15,117
15,123
15,111
15,103
15,81
15,17
15,17
15,7
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,9
15,18
15,70
15,72
15,48
15,36
15,67
15,9
15,102
15,40
15,23
15,17
15,10
15,4
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,3
15,10
15,24
15,35
15,88
15,104
15,59
15,111
15,96
15,99
15,22
15,14
15,12
15,6
15,4
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,6
15,21
15,68
15,87
15,61
15,61
15,59
15,83
15,98
15,27
15,3
15,11
15,8
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,3
15,8
15,26
15,42
15,71
15,70
15,90
15,87
15,109
15,97
15,9
15,24
15,3
15,3
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,5
15,12
15,21
15,23
15,18
15,10
15,11
15,14
15,9
15,12
15,5
15,15
15,3
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,7
15,7
15,6
15,7
15,9
15,7
15,13
15,26
15,13
15,11
15,7
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,1
15,0
15,1
15,4
15,16
15,23
15,24
15,15
15,8
15,8
15,6
15,1
15,5
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,9
15,16
15,76
15,38
15,43
15,40
15,27
15,60
15,32
15,30
15,10
15,12
15,9
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,5
15,18
15,71
15,89
15,105
15,115
15,109
15,115
15,92
15,73
15,10
15,20
15,9
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,4
15,20
15,66
15,34
15,38
15,53
15,82
15,65
15,53
15,56
15,12
15,11
15,6
15,4
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,5
15,15
15,72
15,87
15,23
15,22
15,97
15,118
15,88
15,82
15,8
15,4
15,3
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,4
15,17
15,76
15,96
15,110
15,119
15,122
15,118
15,106
15,89
15,6
15,3
15,1
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,8
15,13
15,7
15,11
15,3
15,4
15,11
15,4
15,5
15,3
15,2
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,10
15,20
15,38
15,28
15,69
15,58
15,98
15,71
15,76
15,40
15,24
15,13
15,3
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,9
15,15
15,78
15,66
15,93
15,124
15,111
15,119
15,103
15,86
15,6
15,4
15,2
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,5
15,11
15,72
15,92
15,108
15,117
15,127
15,89
15,47
15,44
15,11
15,6
15,2
15,3
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,4
15,11
15,72
15,99
15,111
15,117
15,102
15,74
15,46
15,77
15,15
15,6
15,6
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,5
15,18
15,51
15,88
15,104
15,87
15,105
15,103
15,104
15,68
15,16
15,5
15,9
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,9
15,12
15,31
15,34
15,46
15,118
15,77
15,91
15,33
15,18
15,26
15,11
15,6
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,3
15,3
15,2
15,25
15,27
15,31
15,20
15,45
15,40
15,57
15,13
15,4
15,2
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,4
15,12
15,69
15,75
15,92
15,100
15,86
15,80
15,93
15,89
15,9
15,5
15,3
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,5
15,12
15,68
15,89
15,48
15,79
15,119
15,111
15,103
15,85
15,9
15,6
15,4
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,3
15,8
15,16
15,61
15,76
15,73
15,30
15,61
15,90
15,32
15,70
15,19
15,15
15,8
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,8
15,23
15,17
15,43
15,85
15,46
15,12
15,13
15,49
15,30
15,15
15,5
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,4
15,8
15,7
15,48
15,87
15,73
15,89
15,66
15,34
15,18
15,5
15,3
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,6
15,11
15,21
15,42
15,67
15,70
15,118
15,58
15,98
15,71
15,15
15,19
15,6
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,5
15,16
15,39
15,65
15,33
15,84
15,62
15,72
15,19
15,24
15,12
15,6
15,3
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,6
15,14
15,66
15,87
15,109
15,85
15,107
15,108
15,85
15,78
15,13
15,8
15,4
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,2
15,3
15,12
15,53
15,39
15,96
15,99
15,79
15,102
15,74
15,83
15,7
15,5
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,5
15,15
15,37
15,51
15,91
15,90
15,102
15,66
15,75
15,81
15,11
15,10
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,5
15,12
15,63
15,84
15,99
15,109
15,114
15,57
15,47
15,30
15,24
15,15
15,5
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,8
15,11
15,57
15,88
15,99
15,116
15,99
15,101
15,106
15,23
15,23
15,8
15,4
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,10
15,12
15,68
15,88
15,104
15,114
15,117
15,90
15,57
15,68
15,23
15,4
15,2
15,1
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
15,5
15,14
15,67
15,88
15,94
15,97
15,94
15,94
15,101
15,83
15,7
15,6
15,3
15,2
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,1
